Type	Instance	Name	Value
tiflash	${LOCALHOST}:3930	engine-store.flash.proxy.config	${TIUP_DATA_DIR}/tiflash-0/tiflash_proxy.toml
tiflash	${LOCALHOST}:3930	engine-store.logger.level	debug
tiflash	${LOCALHOST}:3930	raftstore-proxy.abort-on-panic	false
tiflash	${LOCALHOST}:3930	raftstore-proxy.backup.auto-tune-refresh-interval	1m
tiflash	${LOCALHOST}:3930	raftstore-proxy.backup.auto-tune-remain-threads	2
tiflash	${LOCALHOST}:3930	raftstore-proxy.backup.batch-size	8
tiflash	${LOCALHOST}:3930	raftstore-proxy.backup.enable-auto-tune	true
tiflash	${LOCALHOST}:3930	raftstore-proxy.backup.hadoop.home	
tiflash	${LOCALHOST}:3930	raftstore-proxy.backup.hadoop.linux-user	
tiflash	${LOCALHOST}:3930	raftstore-proxy.backup.io-thread-size	2
tiflash	${LOCALHOST}:3930	raftstore-proxy.backup.num-threads	4
tiflash	${LOCALHOST}:3930	raftstore-proxy.backup.s3-multi-part-size	5MiB
tiflash	${LOCALHOST}:3930	raftstore-proxy.backup.sst-max-size	144MiB
tiflash	${LOCALHOST}:3930	raftstore-proxy.causal-ts.alloc-ahead-buffer	3s
tiflash	${LOCALHOST}:3930	raftstore-proxy.causal-ts.renew-batch-max-size	8192
tiflash	${LOCALHOST}:3930	raftstore-proxy.causal-ts.renew-batch-min-size	100
tiflash	${LOCALHOST}:3930	raftstore-proxy.causal-ts.renew-interval	100ms
tiflash	${LOCALHOST}:3930	raftstore-proxy.cdc.hibernate-regions-compatible	true
tiflash	${LOCALHOST}:3930	raftstore-proxy.cdc.incremental-scan-concurrency	6
tiflash	${LOCALHOST}:3930	raftstore-proxy.cdc.incremental-scan-speed-limit	128MiB
tiflash	${LOCALHOST}:3930	raftstore-proxy.cdc.incremental-scan-threads	4
tiflash	${LOCALHOST}:3930	raftstore-proxy.cdc.incremental-scan-ts-filter-ratio	0.2
tiflash	${LOCALHOST}:3930	raftstore-proxy.cdc.min-ts-interval	1s
tiflash	${LOCALHOST}:3930	raftstore-proxy.cdc.old-value-cache-memory-quota	512MiB
tiflash	${LOCALHOST}:3930	raftstore-proxy.cdc.sink-memory-quota	512MiB
tiflash	${LOCALHOST}:3930	raftstore-proxy.cdc.tso-worker-threads	1
tiflash	${LOCALHOST}:3930	raftstore-proxy.coprocessor-v2.coprocessor-plugin-directory	null
tiflash	${LOCALHOST}:3930	raftstore-proxy.coprocessor.batch-split-limit	10
tiflash	${LOCALHOST}:3930	raftstore-proxy.coprocessor.consistency-check-method	mvcc
tiflash	${LOCALHOST}:3930	raftstore-proxy.coprocessor.enable-region-bucket	false
tiflash	${LOCALHOST}:3930	raftstore-proxy.coprocessor.prefer-approximate-bucket	true
tiflash	${LOCALHOST}:3930	raftstore-proxy.coprocessor.region-bucket-merge-size-ratio	0.33
tiflash	${LOCALHOST}:3930	raftstore-proxy.coprocessor.region-bucket-size	50MiB
tiflash	${LOCALHOST}:3930	raftstore-proxy.coprocessor.region-max-keys	1440000
tiflash	${LOCALHOST}:3930	raftstore-proxy.coprocessor.region-max-size	144MiB
tiflash	${LOCALHOST}:3930	raftstore-proxy.coprocessor.region-size-threshold-for-approximate	750MiB
tiflash	${LOCALHOST}:3930	raftstore-proxy.coprocessor.region-split-keys	960000
tiflash	${LOCALHOST}:3930	raftstore-proxy.coprocessor.region-split-size	96MiB
tiflash	${LOCALHOST}:3930	raftstore-proxy.coprocessor.split-region-on-table	false
tiflash	${LOCALHOST}:3930	raftstore-proxy.gc.batch-keys	512
tiflash	${LOCALHOST}:3930	raftstore-proxy.gc.compaction-filter-skip-version-check	false
tiflash	${LOCALHOST}:3930	raftstore-proxy.gc.enable-compaction-filter	true
tiflash	${LOCALHOST}:3930	raftstore-proxy.gc.max-write-bytes-per-sec	0KiB
tiflash	${LOCALHOST}:3930	raftstore-proxy.gc.ratio-threshold	1.1
tiflash	${LOCALHOST}:3930	raftstore-proxy.import.import-mode-timeout	10m
tiflash	${LOCALHOST}:3930	raftstore-proxy.import.memory-use-ratio	0.3
tiflash	${LOCALHOST}:3930	raftstore-proxy.import.num-threads	16
tiflash	${LOCALHOST}:3930	raftstore-proxy.import.stream-channel-window	128
tiflash	${LOCALHOST}:3930	raftstore-proxy.log-backup.enable	true
tiflash	${LOCALHOST}:3930	raftstore-proxy.log-backup.file-size-limit	256MiB
tiflash	${LOCALHOST}:3930	raftstore-proxy.log-backup.initial-scan-pending-memory-quota	512MiB
tiflash	${LOCALHOST}:3930	raftstore-proxy.log-backup.initial-scan-rate-limit	60MiB
tiflash	${LOCALHOST}:3930	raftstore-proxy.log-backup.max-flush-interval	3m
tiflash	${LOCALHOST}:3930	raftstore-proxy.log-backup.min-ts-interval	10s
tiflash	${LOCALHOST}:3930	raftstore-proxy.log-backup.num-threads	4
tiflash	${LOCALHOST}:3930	raftstore-proxy.log-backup.temp-path	${TIUP_DATA_DIR}/tiflash-0/proxy_data/log-backup-temp
tiflash	${LOCALHOST}:3930	raftstore-proxy.log-file	
tiflash	${LOCALHOST}:3930	raftstore-proxy.log-format	text
tiflash	${LOCALHOST}:3930	raftstore-proxy.log-level	info
tiflash	${LOCALHOST}:3930	raftstore-proxy.log-rotation-size	300MiB
tiflash	${LOCALHOST}:3930	raftstore-proxy.log-rotation-timespan	0s
tiflash	${LOCALHOST}:3930	raftstore-proxy.log.enable-timestamp	true
tiflash	${LOCALHOST}:3930	raftstore-proxy.log.file.filename	${TIUP_DATA_DIR}/tiflash-0/tiflash_tikv.log
tiflash	${LOCALHOST}:3930	raftstore-proxy.log.file.max-backups	0
tiflash	${LOCALHOST}:3930	raftstore-proxy.log.file.max-days	0
tiflash	${LOCALHOST}:3930	raftstore-proxy.log.file.max-size	300
tiflash	${LOCALHOST}:3930	raftstore-proxy.log.format	text
tiflash	${LOCALHOST}:3930	raftstore-proxy.log.level	info
tiflash	${LOCALHOST}:3930	raftstore-proxy.memory-usage-high-water	0.9
tiflash	${LOCALHOST}:3930	raftstore-proxy.memory-usage-limit	13743895347B
tiflash	${LOCALHOST}:3930	raftstore-proxy.pd.enable-forwarding	false
tiflash	${LOCALHOST}:3930	raftstore-proxy.pd.endpoints	["${LOCALHOST}:2379"]
tiflash	${LOCALHOST}:3930	raftstore-proxy.pd.retry-interval	300ms
tiflash	${LOCALHOST}:3930	raftstore-proxy.pd.retry-log-every	10
tiflash	${LOCALHOST}:3930	raftstore-proxy.pd.retry-max-count	9223372036854776000
tiflash	${LOCALHOST}:3930	raftstore-proxy.pd.update-interval	10m
tiflash	${LOCALHOST}:3930	raftstore-proxy.pessimistic-txn.in-memory	true
tiflash	${LOCALHOST}:3930	raftstore-proxy.pessimistic-txn.pipelined	true
tiflash	${LOCALHOST}:3930	raftstore-proxy.pessimistic-txn.wait-for-lock-timeout	1s
tiflash	${LOCALHOST}:3930	raftstore-proxy.pessimistic-txn.wake-up-delay-duration	20ms
tiflash	${LOCALHOST}:3930	raftstore-proxy.quota.background-cpu-time	0
tiflash	${LOCALHOST}:3930	raftstore-proxy.quota.background-read-bandwidth	0KiB
tiflash	${LOCALHOST}:3930	raftstore-proxy.quota.background-write-bandwidth	0KiB
tiflash	${LOCALHOST}:3930	raftstore-proxy.quota.enable-auto-tune	false
tiflash	${LOCALHOST}:3930	raftstore-proxy.quota.foreground-cpu-time	0
tiflash	${LOCALHOST}:3930	raftstore-proxy.quota.foreground-read-bandwidth	0KiB
tiflash	${LOCALHOST}:3930	raftstore-proxy.quota.foreground-write-bandwidth	0KiB
tiflash	${LOCALHOST}:3930	raftstore-proxy.quota.max-delay-duration	500ms
tiflash	${LOCALHOST}:3930	raftstore-proxy.raft-engine.batch-compression-threshold	8KiB
tiflash	${LOCALHOST}:3930	raftstore-proxy.raft-engine.bytes-per-sync	null
tiflash	${LOCALHOST}:3930	raftstore-proxy.raft-engine.dir	${TIUP_DATA_DIR}/tiflash-0/proxy_data/raft-engine
tiflash	${LOCALHOST}:3930	raftstore-proxy.raft-engine.enable	true
tiflash	${LOCALHOST}:3930	raftstore-proxy.raft-engine.enable-log-recycle	true
tiflash	${LOCALHOST}:3930	raftstore-proxy.raft-engine.format-version	2
tiflash	${LOCALHOST}:3930	raftstore-proxy.raft-engine.memory-limit	2576980377B
tiflash	${LOCALHOST}:3930	raftstore-proxy.raft-engine.prefill-for-recycle	false
tiflash	${LOCALHOST}:3930	raftstore-proxy.raft-engine.prefill-limit	null
tiflash	${LOCALHOST}:3930	raftstore-proxy.raft-engine.purge-rewrite-garbage-ratio	0.6
tiflash	${LOCALHOST}:3930	raftstore-proxy.raft-engine.purge-rewrite-threshold	1GiB
tiflash	${LOCALHOST}:3930	raftstore-proxy.raft-engine.purge-threshold	10GiB
tiflash	${LOCALHOST}:3930	raftstore-proxy.raft-engine.recovery-mode	tolerate-corrupted-tail-records
tiflash	${LOCALHOST}:3930	raftstore-proxy.raft-engine.recovery-read-block-size	16KiB
tiflash	${LOCALHOST}:3930	raftstore-proxy.raft-engine.recovery-threads	4
tiflash	${LOCALHOST}:3930	raftstore-proxy.raft-engine.spill-dir	null
tiflash	${LOCALHOST}:3930	raftstore-proxy.raft-engine.target-file-size	128MiB
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftdb.allow-concurrent-memtable-write	true
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftdb.bytes-per-sync	1MiB
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftdb.compaction-readahead-size	0KiB
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftdb.create-if-missing	true
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftdb.defaultcf.block-based-bloom-filter	false
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftdb.defaultcf.block-cache-size	819MiB
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftdb.defaultcf.block-size	64KiB
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftdb.defaultcf.bloom-filter-bits-per-key	10
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftdb.defaultcf.bottommost-level-compression	disable
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftdb.defaultcf.bottommost-zstd-compression-dict-size	0
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftdb.defaultcf.bottommost-zstd-compression-sample-size	0
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftdb.defaultcf.cache-index-and-filter-blocks	true
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftdb.defaultcf.checksum	crc32c
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftdb.defaultcf.compaction-guard-max-output-file-size	128MiB
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftdb.defaultcf.compaction-guard-min-output-file-size	8MiB
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftdb.defaultcf.compaction-pri	0
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftdb.defaultcf.compaction-style	0
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftdb.defaultcf.compression-per-level	["no","no","lz4","lz4","lz4","zstd","zstd"]
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftdb.defaultcf.disable-auto-compactions	false
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftdb.defaultcf.disable-block-cache	false
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftdb.defaultcf.disable-write-stall	false
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftdb.defaultcf.dynamic-level-bytes	true
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftdb.defaultcf.enable-compaction-guard	null
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftdb.defaultcf.enable-doubly-skiplist	true
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftdb.defaultcf.force-consistency-checks	false
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftdb.defaultcf.format-version	2
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftdb.defaultcf.hard-pending-compaction-bytes-limit	1TiB
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftdb.defaultcf.level0-file-num-compaction-trigger	4
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftdb.defaultcf.level0-slowdown-writes-trigger	20
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftdb.defaultcf.level0-stop-writes-trigger	20
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftdb.defaultcf.max-bytes-for-level-base	512MiB
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftdb.defaultcf.max-bytes-for-level-multiplier	10
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftdb.defaultcf.max-compaction-bytes	2GiB
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftdb.defaultcf.max-compactions	null
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftdb.defaultcf.max-write-buffer-number	5
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftdb.defaultcf.min-write-buffer-number-to-merge	1
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftdb.defaultcf.num-levels	7
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftdb.defaultcf.optimize-filters-for-hits	true
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftdb.defaultcf.optimize-filters-for-memory	false
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftdb.defaultcf.periodic-compaction-seconds	null
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftdb.defaultcf.pin-l0-filter-and-index-blocks	true
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftdb.defaultcf.prepopulate-block-cache	disabled
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftdb.defaultcf.prop-keys-index-distance	40960
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftdb.defaultcf.prop-size-index-distance	4194304
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftdb.defaultcf.read-amp-bytes-per-bit	0
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftdb.defaultcf.ribbon-filter-above-level	null
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftdb.defaultcf.soft-pending-compaction-bytes-limit	192GiB
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftdb.defaultcf.target-file-size-base	null
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftdb.defaultcf.titan.blob-cache-size	0KiB
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftdb.defaultcf.titan.blob-file-compression	lz4
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftdb.defaultcf.titan.blob-run-mode	normal
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftdb.defaultcf.titan.discardable-ratio	0.5
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftdb.defaultcf.titan.level-merge	false
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftdb.defaultcf.titan.max-gc-batch-size	64MiB
