Type	Instance	Name	Value
tikv	${LOCALHOST}:20160	abort-on-panic	false
tikv	${LOCALHOST}:20160	backup.auto-tune-refresh-interval	1m
tikv	${LOCALHOST}:20160	backup.auto-tune-remain-threads	2
tikv	${LOCALHOST}:20160	backup.batch-size	8
tikv	${LOCALHOST}:20160	backup.enable-auto-tune	true
tikv	${LOCALHOST}:20160	backup.hadoop.home	
tikv	${LOCALHOST}:20160	backup.hadoop.linux-user	
tikv	${LOCALHOST}:20160	backup.io-thread-size	2
tikv	${LOCALHOST}:20160	backup.num-threads	4
tikv	${LOCALHOST}:20160	backup.s3-multi-part-size	5MiB
tikv	${LOCALHOST}:20160	backup.sst-max-size	144MiB
tikv	${LOCALHOST}:20160	causal-ts.alloc-ahead-buffer	3s
tikv	${LOCALHOST}:20160	causal-ts.renew-batch-max-size	8192
tikv	${LOCALHOST}:20160	causal-ts.renew-batch-min-size	100
tikv	${LOCALHOST}:20160	causal-ts.renew-interval	100ms
tikv	${LOCALHOST}:20160	cdc.hibernate-regions-compatible	true
tikv	${LOCALHOST}:20160	cdc.incremental-fetch-speed-limit	512MiB
tikv	${LOCALHOST}:20160	cdc.incremental-scan-concurrency	6
tikv	${LOCALHOST}:20160	cdc.incremental-scan-speed-limit	128MiB
tikv	${LOCALHOST}:20160	cdc.incremental-scan-threads	4
tikv	${LOCALHOST}:20160	cdc.incremental-scan-ts-filter-ratio	0.2
tikv	${LOCALHOST}:20160	cdc.min-ts-interval	1s
tikv	${LOCALHOST}:20160	cdc.old-value-cache-memory-quota	512MiB
tikv	${LOCALHOST}:20160	cdc.sink-memory-quota	512MiB
tikv	${LOCALHOST}:20160	cdc.tso-worker-threads	1
tikv	${LOCALHOST}:20160	coprocessor-v2.coprocessor-plugin-directory	null
tikv	${LOCALHOST}:20160	coprocessor.batch-split-limit	10
tikv	${LOCALHOST}:20160	coprocessor.consistency-check-method	mvcc
tikv	${LOCALHOST}:20160	coprocessor.enable-region-bucket	null
tikv	${LOCALHOST}:20160	coprocessor.prefer-approximate-bucket	true
tikv	${LOCALHOST}:20160	coprocessor.region-bucket-merge-size-ratio	0.33
tikv	${LOCALHOST}:20160	coprocessor.region-bucket-size	50MiB
tikv	${LOCALHOST}:20160	coprocessor.region-max-keys	1440000
tikv	${LOCALHOST}:20160	coprocessor.region-max-size	144MiB
tikv	${LOCALHOST}:20160	coprocessor.region-size-threshold-for-approximate	750MiB
tikv	${LOCALHOST}:20160	coprocessor.region-split-keys	960000
tikv	${LOCALHOST}:20160	coprocessor.region-split-size	96MiB
tikv	${LOCALHOST}:20160	coprocessor.split-region-on-table	false
tikv	${LOCALHOST}:20160	gc.auto-compaction.bottommost-level-force	false
tikv	${LOCALHOST}:20160	gc.auto-compaction.check-interval	5m
tikv	${LOCALHOST}:20160	gc.auto-compaction.redundant-rows-percent-threshold	20
tikv	${LOCALHOST}:20160	gc.auto-compaction.redundant-rows-threshold	50000
tikv	${LOCALHOST}:20160	gc.auto-compaction.tombstones-num-threshold	10000
tikv	${LOCALHOST}:20160	gc.auto-compaction.tombstones-percent-threshold	30
tikv	${LOCALHOST}:20160	gc.batch-keys	512
tikv	${LOCALHOST}:20160	gc.compaction-filter-skip-version-check	false
tikv	${LOCALHOST}:20160	gc.enable-compaction-filter	true
tikv	${LOCALHOST}:20160	gc.max-write-bytes-per-sec	0KiB
tikv	${LOCALHOST}:20160	gc.num-threads	1
tikv	${LOCALHOST}:20160	gc.ratio-threshold	1.1
tikv	${LOCALHOST}:20160	import.import-mode-timeout	10m
