Type	Instance	Name	Value
tidb	${LOCALHOST}:4000	advertise-address	${LOCALHOST}
tidb	${LOCALHOST}:4000	alter-primary-key	false
tidb	${LOCALHOST}:4000	autoscaler-addr	tiflash-autoscale-lb.tiflash-autoscale.svc.cluster.local:8081
tidb	${LOCALHOST}:4000	autoscaler-cluster-id	
tidb	${LOCALHOST}:4000	autoscaler-type	aws
tidb	${LOCALHOST}:4000	ballast-object-size	0
tidb	${LOCALHOST}:4000	compatible-kill-query	false
tidb	${LOCALHOST}:4000	cors	
tidb	${LOCALHOST}:4000	delay-clean-table-lock	0
tidb	${LOCALHOST}:4000	deprecate-integer-display-length	true
tidb	${LOCALHOST}:4000	disaggregated-tiflash	false
tidb	${LOCALHOST}:4000	enable-32bits-connection-id	true
tidb	${LOCALHOST}:4000	enable-enum-length-limit	true
tidb	${LOCALHOST}:4000	enable-forwarding	false
tidb	${LOCALHOST}:4000	enable-global-kill	true
tidb	${LOCALHOST}:4000	enable-table-lock	false
tidb	${LOCALHOST}:4000	enable-tcp4-only	false
tidb	${LOCALHOST}:4000	enable-telemetry	false
tidb	${LOCALHOST}:4000	experimental.allow-expression-index	false
tidb	${LOCALHOST}:4000	graceful-wait-before-shutdown	0
tidb	${LOCALHOST}:4000	host	${LOCALHOST}
tidb	${LOCALHOST}:4000	in-mem-slow-query-recent-num	500
tidb	${LOCALHOST}:4000	in-mem-slow-query-topn-num	30
tidb	${LOCALHOST}:4000	index-limit	64
tidb	${LOCALHOST}:4000	initialize-sql-file	
tidb	${LOCALHOST}:4000	instance.ddl_slow_threshold	300
tidb	${LOCALHOST}:4000	instance.max_connections	0
tidb	${LOCALHOST}:4000	instance.plugin_dir	/data/deploy/plugin
tidb	${LOCALHOST}:4000	instance.plugin_load	
tidb	${LOCALHOST}:4000	instance.tidb_check_mb4_value_in_utf8	true
tidb	${LOCALHOST}:4000	instance.tidb_enable_collect_execution_info	true
tidb	${LOCALHOST}:4000	instance.tidb_enable_ddl	true
tidb	${LOCALHOST}:4000	instance.tidb_enable_slow_log	true
tidb	${LOCALHOST}:4000	instance.tidb_enable_stats_owner	true
tidb	${LOCALHOST}:4000	instance.tidb_expensive_query_time_threshold	60
tidb	${LOCALHOST}:4000	instance.tidb_expensive_txn_time_threshold	600
tidb	${LOCALHOST}:4000	instance.tidb_force_priority	NO_PRIORITY
tidb	${LOCALHOST}:4000	instance.tidb_general_log	false
tidb	${LOCALHOST}:4000	instance.tidb_pprof_sql_cpu	false
tidb	${LOCALHOST}:4000	instance.tidb_rc_read_check_ts	false
tidb	${LOCALHOST}:4000	instance.tidb_record_plan_in_slow_log	1
tidb	${LOCALHOST}:4000	instance.tidb_service_scope	
tidb	${LOCALHOST}:4000	instance.tidb_slow_log_threshold	300
tidb	${LOCALHOST}:4000	instance.tidb_stmt_summary_enable_persistent	false
tidb	${LOCALHOST}:4000	instance.tidb_stmt_summary_file_max_backups	0
tidb	${LOCALHOST}:4000	instance.tidb_stmt_summary_file_max_days	3
tidb	${LOCALHOST}:4000	instance.tidb_stmt_summary_file_max_size	64
tidb	${LOCALHOST}:4000	instance.tidb_stmt_summary_filename	tidb-statements.log
tidb	${LOCALHOST}:4000	is-tiflashcompute-fixed-pool	false
