Type	Instance	Name	Value
pd	${LOCALHOST}:2379	advertise-client-urls	http://${LOCALHOST}:2379
pd	${LOCALHOST}:2379	advertise-peer-urls	http://${LOCALHOST}:2380
pd	${LOCALHOST}:2379	auto-compaction-mode	periodic
pd	${LOCALHOST}:2379	auto-compaction-retention-v2	1h
pd	${LOCALHOST}:2379	client-urls	http://${LOCALHOST}:2379
pd	${LOCALHOST}:2379	cluster-version	8.5.6
pd	${LOCALHOST}:2379	controller.degraded-mode-wait-duration	0s
pd	${LOCALHOST}:2379	controller.enable-controller-trace-log	false
pd	${LOCALHOST}:2379	controller.ltb-max-wait-duration	30s
pd	${LOCALHOST}:2379	controller.ltb-token-rpc-max-delay	1s
pd	${LOCALHOST}:2379	controller.request-unit.read-base-cost	0.125
pd	${LOCALHOST}:2379	controller.request-unit.read-cost-per-byte	0.0000152587890625
pd	${LOCALHOST}:2379	controller.request-unit.read-cpu-ms-cost	0.3333333333333333
pd	${LOCALHOST}:2379	controller.request-unit.read-per-batch-base-cost	0.5
pd	${LOCALHOST}:2379	controller.request-unit.write-base-cost	1
pd	${LOCALHOST}:2379	controller.request-unit.write-cost-per-byte	0.0009765625
pd	${LOCALHOST}:2379	controller.request-unit.write-per-batch-base-cost	1
pd	${LOCALHOST}:2379	dashboard.disable-custom-prom-addr	false
pd	${LOCALHOST}:2379	dashboard.enable-experimental	false
pd	${LOCALHOST}:2379	dashboard.enable-telemetry	false
pd	${LOCALHOST}:2379	dashboard.internal-proxy	false
pd	${LOCALHOST}:2379	dashboard.public-path-prefix	
pd	${LOCALHOST}:2379	dashboard.tidb-cacert-path	
pd	${LOCALHOST}:2379	dashboard.tidb-cert-path	
pd	${LOCALHOST}:2379	dashboard.tidb-key-path	
pd	${LOCALHOST}:2379	data-dir	${TIUP_DATA_DIR}/pd-0/data
pd	${LOCALHOST}:2379	election-interval	3s
pd	${LOCALHOST}:2379	enable-grpc-gateway	true
pd	${LOCALHOST}:2379	enable-local-tso	false
pd	${LOCALHOST}:2379	enable-prevote	true
pd	${LOCALHOST}:2379	force-new-cluster	false
pd	${LOCALHOST}:2379	initial-cluster	pd-0=http://${LOCALHOST}:2380
pd	${LOCALHOST}:2379	initial-cluster-state	new
pd	${LOCALHOST}:2379	initial-cluster-token	pd-cluster
pd	${LOCALHOST}:2379	join	
