VARIABLE_NAME	VARIABLE_SCOPE	DEFAULT_VALUE	CURRENT_VALUE	MIN_VALUE	MAX_VALUE	POSSIBLE_VALUES	IS_NOOP
allow_auto_random_explicit_insert	SESSION,GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
authentication_ldap_sasl_auth_method_name	GLOBAL	SCRAM-SHA-1	SCRAM-SHA-1	NULL	NULL	SCRAM-SHA-1,SCRAM-SHA-256,GSSAPI	NO
authentication_ldap_sasl_bind_base_dn	GLOBAL			NULL	NULL	NULL	NO
authentication_ldap_sasl_bind_root_dn	GLOBAL			NULL	NULL	NULL	NO
authentication_ldap_sasl_bind_root_pwd	GLOBAL			NULL	NULL	NULL	NO
authentication_ldap_sasl_ca_path	GLOBAL			NULL	NULL	NULL	NO
authentication_ldap_sasl_init_pool_size	GLOBAL	10	10	1	32767	NULL	NO
authentication_ldap_sasl_max_pool_size	GLOBAL	1000	1000	1	32767	NULL	NO
authentication_ldap_sasl_server_host	GLOBAL			NULL	NULL	NULL	NO
authentication_ldap_sasl_server_port	GLOBAL	389	389	1	65535	NULL	NO
authentication_ldap_sasl_tls	GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
authentication_ldap_sasl_user_search_attr	GLOBAL	uid	uid	NULL	NULL	NULL	NO
authentication_ldap_simple_auth_method_name	GLOBAL	SIMPLE	SIMPLE	NULL	NULL	NULL	NO
authentication_ldap_simple_bind_base_dn	GLOBAL			NULL	NULL	NULL	NO
authentication_ldap_simple_bind_root_dn	GLOBAL			NULL	NULL	NULL	NO
authentication_ldap_simple_bind_root_pwd	GLOBAL			NULL	NULL	NULL	NO
authentication_ldap_simple_ca_path	GLOBAL			NULL	NULL	NULL	NO
authentication_ldap_simple_init_pool_size	GLOBAL	10	10	1	32767	NULL	NO
authentication_ldap_simple_max_pool_size	GLOBAL	1000	1000	1	32767	NULL	NO
authentication_ldap_simple_server_host	GLOBAL			NULL	NULL	NULL	NO
authentication_ldap_simple_server_port	GLOBAL	389	389	1	65535	NULL	NO
authentication_ldap_simple_tls	GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
authentication_ldap_simple_user_search_attr	GLOBAL	uid	uid	NULL	NULL	NULL	NO
